idcuenta,tipocuentaid,tipocuenta,cuentamayor,subcuenta,cuentaanalisis,periodo,saldoanterior,saldo,generado_en
40025810,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-02 HONORARIOS PROFESIONALES,,2026-08-01T00:00:00.000Z,0,1094396,2026-09-24T11:09:23.394Z
40025811,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-03 LEYES SOCIALES,,2026-01-01T00:00:00.000Z,0,48068,2026-09-24T11:09:23.394Z
40025811,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-03 LEYES SOCIALES,,2026-02-01T00:00:00.000Z,0,91164,2026-09-24T11:09:23.394Z
40025811,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-03 LEYES SOCIALES,,2026-03-01T00:00:00.000Z,0,93838,2026-09-24T11:09:23.394Z
40025811,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-03 LEYES SOCIALES,,2026-04-01T00:00:00.000Z,0,155049,2026-09-24T11:09:23.394Z
40025811,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-03 LEYES SOCIALES,,2026-05-01T00:00:00.000Z,0,174243,2026-09-24T11:09:23.394Z
40025811,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-03 LEYES SOCIALES,,2026-06-01T00:00:00.000Z,0,157472,2026-09-24T11:09:23.394Z
40025811,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-03 LEYES SOCIALES,,2026-07-01T00:00:00.000Z,0,169647,2026-09-24T11:09:23.394Z
40025811,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-03 LEYES SOCIALES,,2026-08-01T00:00:00.000Z,0,181712,2026-09-24T11:09:23.394Z
40025812,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-04 GASTOS DE OFICINA,,2026-01-01T00:00:00.000Z,0,132099,2026-09-24T11:09:23.394Z
40025812,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-04 GASTOS DE OFICINA,,2026-02-01T00:00:00.000Z,0,516975,2026-09-24T11:09:23.394Z
40025812,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-04 GASTOS DE OFICINA,,2026-03-01T00:00:00.000Z,0,298942,2026-09-24T11:09:23.394Z
40025812,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-04 GASTOS DE OFICINA,,2026-04-01T00:00:00.000Z,0,576812,2026-09-24T11:09:23.394Z
40025812,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-04 GASTOS DE OFICINA,,2026-05-01T00:00:00.000Z,0,627149,2026-09-24T11:09:23.394Z
40025812,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-04 GASTOS DE OFICINA,,2026-06-01T00:00:00.000Z,0,3151,2026-09-24T11:09:23.394Z
40025812,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-04 GASTOS DE OFICINA,,2026-07-01T00:00:00.000Z,0,445220,2026-09-24T11:09:23.394Z
40025812,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-04 GASTOS DE OFICINA,,2026-08-01T00:00:00.000Z,0,460864,2026-09-24T11:09:23.394Z
40025813,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-05 IMPUESTOS Y PATENTES,,2026-04-01T00:00:00.000Z,0,70447,2026-09-24T11:09:23.394Z
40025813,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-05 IMPUESTOS Y PATENTES,,2026-08-01T00:00:00.000Z,0,1029482,2026-09-24T11:09:23.394Z
40025814,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-06 MANT VEHICULOS Y EQ TRANSP,,2026-01-01T00:00:00.000Z,0,50000,2026-09-24T11:09:23.394Z
40025814,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-06 MANT VEHICULOS Y EQ TRANSP,,2026-02-01T00:00:00.000Z,0,506272,2026-09-24T11:09:23.394Z
